Category,Requirement,Body,Reference
Chapter 1 - General,Scope of the Act,Applies to processing of personal data wholly or partly by automated means and to non-automated processing forming part of a filing system. Operates as a national supplement to the GDPR within the open clauses the GDPR permits Member States to use.,Danish DPA § 1
Chapter 1 - General,Relationship with the GDPR,"Where the GDPR applies, this Act supplements and specifies its provisions to the extent the GDPR permits Member States to maintain or introduce more specific national rules. The Act does not derogate from the GDPR beyond its express margins (notably Articles 6(2)-(3), 8, 9(2)(g)-(j), 10, 23, and 85-90).",Danish DPA § 2
Chapter 1 - General,Definitions and the CPR,"Terms defined in the GDPR (controller, processor, personal data, processing) carry the same meaning in this Act unless modified. The Act references the Danish CPR (Civil Registration Number) as the principal personal identifier and applies specific limits to its processing.",Danish DPA § 3
Chapter 2 - Lawfulness,Lawful basis for public authorities,A public authority may process personal data where necessary for the performance of a task carried out in the public interest or in the exercise of official authority. The Act specifies how the Article 6(1)(e) basis is to be applied in Danish public administration.,Danish DPA § 5
Chapter 2 - Lawfulness,Age of consent for information society services,"The age at which a child can consent on their own behalf to processing of personal data offered directly to a child in relation to information society services is set at 13, lowered from the GDPR default of 16 under Article 8(1) GDPR's Member-State margin.",Danish DPA § 6
Chapter 2 - Special Categories,Processing of special categories of personal data,"Article 9 GDPR special categories may be processed where necessary for employment, social security, and social protection law obligations; for substantial public interest; for preventive or occupational medicine; or for archiving, scientific or historical research, or statistical purposes, subject to suitable safeguards.",Danish DPA § 7
Chapter 2 - Special Categories,Criminal convictions and offences data,"Article 10 GDPR data may be processed by public authorities for the discharge of their tasks. Private controllers may process it only where necessary for a legitimate interest that clearly outweighs the data subject's interest in confidentiality, or with explicit consent; specific Danish safeguards apply.",Danish DPA § 8
Chapter 2 - Specific Purposes,Scientific and historical research and statistical purposes,"Personal data, including special categories, may be processed for scientific or historical research or statistical purposes subject to pseudonymisation and other technical and organisational safeguards. Results may not be used to make decisions about identifiable natural persons unless required by law.",Danish DPA § 10
Chapter 2 - Identification,Use of the Civil Registration Number (CPR),"The CPR may be processed for unambiguous identification or as a journal number where required by law, by a public authority's task, or with the data subject's express consent. Private controllers may use it only with statutory authorisation, consent, or where justified by a clear practical need; the CPR must not be made publicly available.",Danish DPA § 11
Chapter 2 - Employment,Processing in employment relations,"Employee personal data may be processed where necessary to comply with the employer's labour-law obligations or to exercise rights under labour law and collective agreements, or where justified by a legitimate interest of the employer overriding the employee's interest. Special categories require a specific basis under § 7.",Danish DPA § 12
Chapter 2 - Identification,Other personal identification numbers,"Processing of other personal identification numbers (besides the CPR) requires statutory authorisation, an authority's task, consent, or a clearly legitimate, appropriate and proportionate purpose.",Danish DPA § 13
Chapter 2 - Sectoral Exceptions,"Journalism, academic, artistic, and literary expression","The Act and most of the GDPR do not apply to processing carried out for journalistic purposes or for academic, artistic or literary expression, save for selected security-of-processing provisions. This implements the GDPR Article 85 derogation in Danish law.",Danish DPA § 14
Chapter 2 - Sectoral Exceptions,Personal data of deceased persons,"Personal data of deceased persons fall within the Act's scope for 10 years following death. The rights and obligations regarding such data may be exercised by the heirs of the estate, with limitations for archiving and research purposes.",Danish DPA § 15
Chapter 3 - Credit Information,Credit-information undertakings,"Credit-rating activities and the processing of credit information are subject to specific Danish rules on lawful basis, the categories of data that may be included, retention, and data subject rights. Datatilsynet supervises credit-information undertakings under this Act and sector-specific legislation.",Danish DPA § 19
Chapter 4 - Rights and Restrictions,Right to object to direct marketing,"A data subject has an unconditional right to object to processing of personal data concerning them for direct marketing purposes, including profiling to the extent it relates to such marketing. The controller must cease the processing on request without undue delay and at no charge to the data subject.",Danish DPA § 21
Chapter 4 - Rights and Restrictions,Restrictions on data subject rights,"Rights of access, rectification, erasure, restriction, notification, and objection (Articles 15-22 GDPR) may be restricted to safeguard national security, defence, public security, prevention or investigation of criminal offences, important public-interest objectives, judicial independence, protection of the data subject or others' rights, and enforcement of civil-law claims.",Danish DPA § 22
Chapter 4 - Rights and Restrictions,Information to data subjects in plain Danish,"Information required by Articles 13 and 14 GDPR must be provided in plain Danish where given in writing for use within Denmark, unless the data subject has indicated otherwise. Where providing the information would be impossible or disproportionate, the controller must take appropriate measures to safeguard the data subject's rights.",Danish DPA § 23
Chapter 4 - Rights and Restrictions,Refusal of access on overriding interests,"Access requests may be refused only to the extent strictly necessary to protect overriding private or public interests. The controller must inform the data subject of any refusal and the reasons, unless doing so would itself harm the protected interest.",Danish DPA § 24
Chapter 5 - Supervisory Authority,Datatilsynet (Danish Data Protection Authority),"Datatilsynet is the independent supervisory authority responsible for monitoring and enforcing the GDPR and this Act in Denmark. It exercises the powers set out in Articles 57 and 58 GDPR -- investigatory, corrective, authorisation, and advisory -- and acts independently of instructions from any other authority.",Danish DPA § 27
Chapter 5 - Supervisory Authority,Datatilsynet's tasks and audits,"Datatilsynet monitors compliance with the GDPR and this Act, conducts audits and investigations on its own initiative or following complaints, issues opinions on draft legislation, promotes public awareness of data protection rights, and cooperates with supervisory authorities in other EU Member States.",Danish DPA § 28
