Category,Requirement,Body,Reference
A.7.2 Conditions for collection and processing,Identify and document purpose,"The organization shall identify and document the specific purposes for which the PII will be processed. Purposes shall be communicated to PII principals and used as the basis for retention, minimisation, and other downstream decisions.",ISO 27701 A.7.2.1
A.7.2 Conditions for collection and processing,Identify lawful basis,"The organization shall determine, document, and comply with the relevant lawful basis (consent, contract, legal obligation, vital interests, public task, or legitimate interests) for the processing of PII for the identified purposes.",ISO 27701 A.7.2.2
A.7.2 Conditions for collection and processing,Determine when and how consent is to be obtained,"Where consent is the lawful basis, the organization shall determine and document the process for obtaining and recording consent from PII principals, including the form, timing, and granularity appropriate to the processing.",ISO 27701 A.7.2.3
A.7.2 Conditions for collection and processing,Obtain and record consent,"The organization shall obtain and record consent in such a way that it is freely given, specific, informed, and unambiguous, and that the record is sufficient to demonstrate compliance to the supervisory authority on request.",ISO 27701 A.7.2.4
A.7.2 Conditions for collection and processing,Privacy impact assessment,"The organization shall assess the need for, and implement where required, a privacy impact assessment whenever new processing of PII or changes to existing processing are likely to result in significant risks to PII principals.",ISO 27701 A.7.2.5
A.7.2 Conditions for collection and processing,Contracts with PII processors,"The organization shall have written contracts with any PII processors used, setting out the subject matter, duration, nature and purpose of the processing, the types of PII, the categories of PII principals, and the obligations and rights of the controller, including audit and assistance obligations.",ISO 27701 A.7.2.6
A.7.2 Conditions for collection and processing,Joint PII controller,"Where the organization processes PII jointly with one or more other controllers, the respective responsibilities for compliance shall be determined and documented in a transparent arrangement, and the essence of that arrangement shall be made available to PII principals.",ISO 27701 A.7.2.7
A.7.2 Conditions for collection and processing,Records related to processing PII,"The organization shall determine and securely maintain the records necessary to demonstrate compliance with its obligations as a PII controller, including processing purposes, categories of PII, recipients, transfers, retention periods, and the technical and organisational measures applied.",ISO 27701 A.7.2.8
A.7.3 Obligations to PII principals,Determining and fulfilling obligations to PII principals,The organization shall determine and document the obligations owed to PII principals under applicable law and shall implement processes to fulfil those obligations consistently.,ISO 27701 A.7.3.1
A.7.3 Obligations to PII principals,Determining information for PII principals,"The organization shall determine the information required to be provided to PII principals about the processing of their PII, including identity of the controller, purposes, categories, recipients, retention, rights, and the source of the PII when not collected directly.",ISO 27701 A.7.3.2
A.7.3 Obligations to PII principals,Providing information to PII principals,"The organization shall provide the determined information to PII principals in a concise, transparent, intelligible, and easily accessible form using clear and plain language, at the time PII is collected from the principal or within a reasonable period thereafter.",ISO 27701 A.7.3.3
A.7.3 Obligations to PII principals,Providing mechanism to modify or withdraw consent,"Where consent is the lawful basis, the organization shall provide PII principals with a mechanism to modify or withdraw their consent at any time, and the mechanism shall be as easy to use as the mechanism by which consent was given.",ISO 27701 A.7.3.4
A.7.3 Obligations to PII principals,Providing mechanism to object to PII processing,"The organization shall provide PII principals with a mechanism to object to the processing of their PII where the applicable lawful basis permits such objection (for example, legitimate interests or direct marketing).",ISO 27701 A.7.3.5
A.7.3 Obligations to PII principals,"Access, correction, and/or erasure","The organization shall implement processes to enable PII principals to obtain access to, correction of, or erasure of their PII, and shall respond to such requests within the timeframes required by applicable law.",ISO 27701 A.7.3.6
A.7.3 Obligations to PII principals,PII controllers' obligations to inform third parties,"Where PII has been disclosed to third parties and is subsequently corrected, erased, or restricted, the organization shall inform those third parties of the change, unless this proves impossible or involves disproportionate effort.",ISO 27701 A.7.3.7
A.7.3 Obligations to PII principals,Providing copy of PII processed,"On request, the organization shall provide PII principals with a copy of the PII being processed about them in a structured, commonly used, and machine-readable format where technically feasible.",ISO 27701 A.7.3.8
A.7.3 Obligations to PII principals,Handling requests,"The organization shall implement documented processes for receiving, verifying the identity of the requester, recording, and timely responding to requests from PII principals concerning their PII.",ISO 27701 A.7.3.9
A.7.3 Obligations to PII principals,Automated decision making,"Where the organization carries out solely automated decision-making, including profiling, which produces legal or similarly significant effects on PII principals, it shall implement suitable safeguards including the right to obtain human intervention, express a view, and contest the decision.",ISO 27701 A.7.3.10
A.7.4 Privacy by design and by default,Limit collection,"The organization shall limit the collection of PII to what is adequate, relevant, and limited to what is necessary in relation to the identified purposes.",ISO 27701 A.7.4.1
A.7.4 Privacy by design and by default,Limit processing,"The organization shall limit the processing of PII to that which is adequate, relevant, and necessary in relation to the identified purposes, and not process PII for incompatible purposes without a further lawful basis.",ISO 27701 A.7.4.2
A.7.4 Privacy by design and by default,Accuracy and quality,"The organization shall take reasonable steps to ensure that PII processed is accurate, complete, and up to date as necessary for the purposes for which it is processed.",ISO 27701 A.7.4.3
A.7.4 Privacy by design and by default,PII minimization objectives,"The organization shall define and document objectives for PII minimisation, and shall implement processes (including data-protection by default settings, pseudonymisation, and anonymisation where possible) to meet those objectives.",ISO 27701 A.7.4.4
A.7.4 Privacy by design and by default,PII de-identification and deletion at end of processing,"At the end of the processing, the organization shall de-identify or delete PII that is no longer necessary, unless retention is required by applicable law.",ISO 27701 A.7.4.5
