"Category","Requirement","Body","Reference"
"Chapter I - General provisions","Subject-matter and objectives","Lays down rules relating to the protection of natural persons with regard to the processing of personal data and rules relating to the free movement of personal data. Protects fundamental rights and freedoms of natural persons and in particular their right to the protection of personal data.","GDPR Art. 1"
"Chapter I - General provisions","Material scope","Applies to wholly or partly automated processing of personal data and to non-automated processing of personal data which form part of a filing system or are intended to form part of a filing system. Excludes activities outside the scope of Union law, purely personal or household activity, and certain law-enforcement processing.","GDPR Art. 2"
"Chapter I - General provisions","Territorial scope","Applies to processing in the context of activities of an establishment of a controller or processor in the Union, and to controllers or processors not established in the Union that offer goods or services to data subjects in the Union or monitor their behaviour within the Union.","GDPR Art. 3"
"Chapter I - General provisions","Definitions","Defines key terms including 'personal data', 'processing', 'controller', 'processor', 'recipient', 'third party', 'consent', 'personal data breach', 'genetic data', 'biometric data', 'health data', 'pseudonymisation', 'profiling', 'main establishment', and 'supervisory authority'.","GDPR Art. 4"
"Chapter II - Principles","Principles relating to processing of personal data","Personal data shall be processed lawfully, fairly and transparently (lawfulness, fairness and transparency); collected for specified, explicit and legitimate purposes (purpose limitation); adequate, relevant and limited to what is necessary (data minimisation); accurate (accuracy); kept no longer than necessary (storage limitation); processed securely (integrity and confidentiality). The controller is responsible for and must be able to demonstrate compliance (accountability).","GDPR Art. 5"
"Chapter II - Principles","Lawfulness of processing","Processing is lawful only if and to the extent that at least one of six bases applies: consent of the data subject; necessity for performance of a contract; compliance with a legal obligation; protection of vital interests; performance of a task in the public interest or exercise of official authority; or the legitimate interests of the controller or a third party, except where overridden by the interests or rights of the data subject.","GDPR Art. 6"
"Chapter II - Principles","Conditions for consent","Where processing is based on consent, the controller must be able to demonstrate that consent was given. Consent must be freely given, specific, informed and unambiguous. The request for consent must be clearly distinguishable and in plain language. The data subject has the right to withdraw consent at any time, and withdrawal must be as easy as giving it.","GDPR Art. 7"
"Chapter II - Principles","Conditions applicable to child's consent in relation to information society services","Where information society services are offered directly to a child and processing is based on consent, the child must be at least 16 years old (Member States may lower this to no less than 13). Below that age, consent must be given or authorised by the holder of parental responsibility. The controller shall make reasonable efforts to verify this.","GDPR Art. 8"
"Chapter II - Principles","Processing of special categories of personal data","Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, trade union membership, genetic data, biometric data for unique identification, health data, or data concerning sex life or sexual orientation is prohibited, unless one of ten specific exceptions applies (e.g. explicit consent, employment law, vital interests, public interest, manifestly made public, legal claims, medical purposes, public health, archiving/research).","GDPR Art. 9"
"Chapter II - Principles","Processing of personal data relating to criminal convictions and offences","Processing of personal data relating to criminal convictions and offences or related security measures may be carried out only under the control of official authority or when authorised by Union or Member State law providing appropriate safeguards. A comprehensive register of criminal convictions may be kept only under the control of official authority.","GDPR Art. 10"
"Chapter II - Principles","Processing which does not require identification","If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject, the controller is not obliged to maintain, acquire or process additional information in order to identify the data subject. Where the controller can demonstrate that it cannot identify the data subject, Articles 15 to 20 do not apply unless the data subject provides additional information.","GDPR Art. 11"
"Chapter III - Rights of the data subject","Transparent information, communication and modalities for the exercise of the rights of the data subject","Information addressed to the data subject must be concise, transparent, intelligible and easily accessible, using clear and plain language. The controller shall facilitate the exercise of data subject rights and respond to requests without undue delay and within one month (extendable by two further months for complex requests). No fee may be charged unless requests are manifestly unfounded or excessive.","GDPR Art. 12"
"Chapter III - Rights of the data subject","Information to be provided where personal data are collected from the data subject","Where personal data are collected from the data subject, the controller shall provide at the time of collection: identity and contact details of the controller and DPO; purposes and legal basis; recipients; details of any international transfers; retention period; data subject rights; right to withdraw consent; right to lodge a complaint; whether provision is required and consequences of refusal; existence of automated decision-making including profiling.","GDPR Art. 13"
"Chapter III - Rights of the data subject","Information to be provided where personal data have not been obtained from the data subject","Where personal data are obtained other than from the data subject, the controller shall provide the same information as in Article 13 plus the categories of personal data and the source of the data. Information must be provided within a reasonable period and at the latest within one month, or at first communication or first disclosure if earlier. Exceptions apply where provision is impossible, disproportionate, or expressly laid down by law.","GDPR Art. 14"
"Chapter III - Rights of the data subject","Right of access by the data subject","The data subject has the right to obtain from the controller confirmation as to whether personal data concerning them are being processed, and where so, access to the personal data and information about purposes, categories, recipients, retention, rights, source, and the existence of automated decision-making. The controller shall provide a copy of the personal data; further copies may carry a reasonable fee.","GDPR Art. 15"
"Chapter III - Rights of the data subject","Right to rectification","The data subject has the right to obtain from the controller, without undue delay, rectification of inaccurate personal data concerning them. Taking into account the purposes of processing, the data subject also has the right to have incomplete personal data completed, including by means of a supplementary statement.","GDPR Art. 16"
"Chapter III - Rights of the data subject","Right to erasure ('right to be forgotten')","The data subject has the right to obtain erasure of personal data concerning them without undue delay where: data are no longer necessary; consent is withdrawn and no other legal basis; the subject objects and no overriding grounds; data have been unlawfully processed; erasure is required by law; or data were collected from a child for information society services. Exceptions apply for freedom of expression, legal obligation, public interest, public health, archiving/research, and legal claims.","GDPR Art. 17"
"Chapter III - Rights of the data subject","Right to restriction of processing","The data subject has the right to obtain restriction of processing where: accuracy is contested (for a period verifying accuracy); processing is unlawful but the subject opposes erasure; the controller no longer needs the data but the subject requires them for legal claims; or the subject has objected pending verification of overriding grounds. Restricted data may be stored but only processed with consent or for legal claims, public interest, or rights of others.","GDPR Art. 18"
"Chapter III - Rights of the data subject","Notification obligation regarding rectification or erasure of personal data or restriction of processing","The controller shall communicate any rectification, erasure or restriction of processing to each recipient to whom the personal data have been disclosed, unless this proves impossible or involves disproportionate effort. The controller shall inform the data subject about those recipients if the data subject requests it.","GDPR Art. 19"
"Chapter III - Rights of the data subject","Right to data portability","The data subject has the right to receive personal data concerning them which they have provided to the controller in a structured, commonly used and machine-readable format, and the right to transmit those data to another controller without hindrance. Applies where processing is based on consent or on a contract and carried out by automated means. Where technically feasible, data may be transmitted directly from one controller to another.","GDPR Art. 20"
"Chapter III - Rights of the data subject","Right to object","The data subject has the right to object, on grounds relating to their particular situation, to processing based on public interest or legitimate interests, including profiling. The controller must stop processing unless it demonstrates compelling legitimate grounds. The data subject has an absolute right to object to processing for direct marketing purposes, including any related profiling.","GDPR Art. 21"
"Chapter III - Rights of the data subject","Automated individual decision-making, including profiling","The data subject has the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects concerning them or similarly significantly affects them. Exceptions: contract necessity; authorised by Union or Member State law; explicit consent. Suitable safeguards must apply, including the right to obtain human intervention, to express a point of view, and to contest the decision.","GDPR Art. 22"
"Chapter III - Rights of the data subject","Restrictions","Union or Member State law may restrict the scope of obligations and rights in Articles 12 to 22, Article 34 and corresponding provisions of Article 5 when such restriction respects the essence of fundamental rights and freedoms and is a necessary and proportionate measure in a democratic society to safeguard specified objectives (national security, defence, public security, criminal enforcement, other important objectives of general public interest, protection of judicial independence, monitoring of regulated professions, etc.).","GDPR Art. 23"
"Chapter IV - Controller and processor","Responsibility of the controller","Taking into account the nature, scope, context and purposes of processing as well as risks to rights and freedoms, the controller shall implement appropriate technical and organisational measures to ensure and demonstrate that processing is performed in accordance with this Regulation. Measures shall be reviewed and updated where necessary. Adherence to approved codes of conduct or certification may be used to demonstrate compliance.","GDPR Art. 24"
"Chapter IV - Controller and processor","Data protection by design and by default","The controller shall implement appropriate technical and organisational measures (e.g. pseudonymisation, data minimisation) at the time of determining the means of processing and at the time of processing itself, designed to implement data protection principles. By default, only personal data necessary for each specific purpose are processed; this applies to the amount of data collected, extent of processing, period of storage and accessibility.","GDPR Art. 25"
"Chapter IV - Controller and processor","Joint controllers","Where two or more controllers jointly determine the purposes and means of processing, they are joint controllers. They shall determine their respective responsibilities for compliance, in particular regarding the exercise of data subject rights and the provision of information, by means of a transparent arrangement, the essence of which shall be made available to the data subject. Regardless of the arrangement, the data subject may exercise rights in respect of and against each controller.","GDPR Art. 26"
"Chapter IV - Controller and processor","Representatives of controllers or processors not established in the Union","Where Article 3(2) applies, the controller or processor shall designate in writing a representative in the Union. The representative shall be established in a Member State where data subjects whose personal data are processed are located. Exemption for occasional processing that does not include large-scale processing of special categories or criminal data and is unlikely to result in risk.","GDPR Art. 27"
"Chapter IV - Controller and processor","Processor","Where processing is carried out on behalf of a controller, the controller shall use only processors providing sufficient guarantees to implement appropriate measures. Processing by a processor shall be governed by a contract or other legal act binding the processor with specified content (subject matter, duration, nature, purpose, type of data, categories of subjects, obligations). The processor shall not engage another processor without prior authorisation.","GDPR Art. 28"
"Chapter IV - Controller and processor","Processing under the authority of the controller or processor","The processor and any person acting under the authority of the controller or of the processor who has access to personal data shall not process those data except on instructions from the controller, unless required to do so by Union or Member State law.","GDPR Art. 29"
"Chapter IV - Controller and processor","Records of processing activities","Each controller and processor shall maintain a record of processing activities under its responsibility, containing specified information (name and contact details, purposes, categories of subjects and data, categories of recipients, international transfers, retention, general description of security measures). The obligation does not apply to enterprises with fewer than 250 employees unless processing is likely to result in risk, is not occasional, or includes special categories or criminal data.","GDPR Art. 30"
